se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
7.1,0.6,,,0.21
7.183333333,0.62,,,0.28
7.316666667,0.58,,,0.2
7.366666667,0.69,,,0.31
7.05,0.58,,,0.3
6.8,0.68,,,0.38
6.45,0.9,,,0.52
17.03333333,0.86,,,0.3
6.35,0.85,,,0.43
17.4,0.76,,,0.32
16.16666667,0.58,,,0.12
17.26666667,0.82,,,0.5
16.16666667,0.56,,,0.15
16.31666667,0.86,,,0.25
16.13333333,0.55,,,0.12
15.78333333,1.05,,,0.55
6.966666667,0.58,,,0.21
15.78333333,0.95,,,0.44
15.86666667,1,,,0.51
15.83333333,0.84,,,0.42
17.83333333,0.43,23.1,432,0.22
17.75,0.3,23.1,423,0.21
17.81666667,0.36,22.3,423,0.11
5.616666667,0.64,,,0.28
5.533333333,0.67,,,0.25
5.783333333,0.99,24.1,238,0.67
4.633333333,0.89,24.6,295,0.32
17,0.36,25.1,283,0.13
17.11666667,0.37,25.9,282,0.17
6.15,0.56,22.7,,0.19
17.01666667,0.39,26.5,291,0.22
6.216666667,0.53,22.6,0,0.23
6.05,1.29,25.8,465,0.88
6.3,0.45,22.4,,0.28
6.05,0.94,22.9,464,0.03
16.33333333,1.39,25.8,,0.42
6.066666667,0.6,25.2,,0.19
6.55,0.91,24.5,,0.33
6.6,0.79,24.3,,0.31
16.16666667,1.07,,,0.52
16.13333333,1,,,0.6
16.1,1.08,,,0.54
16.08333333,0.99,,,0.5
16.05,1.02,,,0.44
16.15,0.57,,,0.14
16.23333333,0.43,,,0.06
16.18333333,0.61,,,0.13
16.16666667,0.52,,,0.09
16.1,0.52,,,0.11
16.2,0.96,,,0.36
16.2,0.83,,,0.24
16.18333333,0.91,,,0.3
16.08333333,0.86,,,0.16
15.96666667,0.92,,,0.21
16.81666667,0.56,22.6,286,0.41
6.166666667,0.79,,,0.39
16.73333333,0.48,22.5,286,0.31
6.183333333,0.87,,,0.43
17.85,0.52,22.5,282,0.26
6.15,0.95,,,0.52
16.85,0.54,22.3,283,0.12
6.216666667,0.81,,,0.4
6.85,0.58,,,0.38
6.8,0.68,,,0.36
6.8,0.7,,,0.26
6.133333333,0.9,,,0.45
4.883333333,0.68,,,0.37
16.55,0.81,21.1,421,0.31
6.683333333,0.68,,,0.3
4.85,0.65,,,0.4
16.91666667,0.82,22.3,423,0.61
6.75,0.65,,,0.28
4.95,0.58,,,0.36
16.8,0.88,22.3,418,0.43
4.933333333,0.6,,,0.34
7.3,0.58,,,0.28
16.83333333,0.83,22.1,432,0.51
4.9,0.57,,,0.32
7.283333333,0.68,,,0.3
6.133333333,0.66,,,0.28
7.25,0.7,,,0.26
18.01666667,0.51,22.1,416,0.41
6.083333333,0.61,,,0.15
7.066666667,0.58,,,0.26
