se4_lag,se1_frc,se4_frc,se1_cond,se1_wattemp
4.666666667,1,0.1,,
5.9,0.1,0.1,,
5.516666667,0.1,0.1,,
5.483333333,0.1,0.1,,
5.25,0.1,0.1,,
4.766666667,0.1,0.1,,
4.55,0.1,0.11,,
4.466666667,0.1,0.1,,
4.283333333,0.1,0.1,,
4.133333333,0.1,0.1,,
3.65,0.1,0.1,,
4.783333333,0.1,0.1,,
7.133333333,0.1,0.1,,
7.066666667,0.1,0.1,,
6.5,0.1,0.1,,
6.516666667,0.1,0.1,,
5.983333333,0.1,0.1,,
5.85,0.1,0.1,,
0.05,0.1,0.1,,
0.033333333,0.1,0.1,,
0.016666667,0.1,0.1,,
0.016666667,0.1,0.1,,
5.2,0.4,0.2,,
4.85,0.4,0.2,,
2.766666667,0.4,0.2,,
2.466666667,0.4,0.2,,
2.466666667,0.4,0.1,,
2.433333333,0.4,0.1,,
2.416666667,0.4,0.1,,
2.133333333,0.4,0.1,,
2.066666667,0.4,0.1,,
2.083333333,0.4,0.2,,
1.966666667,0.4,0.1,,
1.966666667,0.4,0.2,,
1.983333333,0.4,0.1,,
2.216666667,0.4,0.1,,
3.316666667,0.4,0.1,,
3.566666667,0.4,0.1,,
5.6,0.3,0.1,26.1,
5.033333333,0.3,0.2,26.2,
5.533333333,0.3,0.2,26.1,
29.53333333,0.3,0.2,26.1,
5.716666667,0.3,0.2,26.2,
5.7,0.3,0.1,26.1,
5.65,0.3,0.2,26.2,
6.6,0.3,0.2,26.1,
5.6,0.3,0.1,26.2,
5.6,0.3,0.2,26.1,
5.6,0.3,0.2,26.1,
5.583333333,0.3,0.2,26.1,
5.566666667,0.4,0.2,26.1,
5.616666667,0.4,0.1,26.2,
5.5,0.3,0.1,26.2,
5.683333333,0.3,0.1,23.6,
5.7,0.3,0.1,24.2,
5.65,0.3,0.2,23.7,
5.616666667,0.3,0.1,23.8,
1.616666667,0.3,0.1,23.9,
5.533333333,0.3,0.1,25.1,
5.566666667,0.3,0.1,24.5,
5.616666667,0.3,0.1,24.5,
5.566666667,0.3,0.2,24.8,
5.6,0.3,0.1,24.4,
5.566666667,0.2,0.1,25.1,
5.55,0.2,0.1,25.1,
5.566666667,0.2,0.1,25.2,
5.25,0.3,0.1,26.1,
5.25,0.4,0.2,26.2,
5.216666667,0.3,0.1,26.1,
5.233333333,0.3,0.2,26.1,
5.15,0.3,0.1,26.2,
5.25,0.3,0.1,26.1,
5.283333333,0.2,0.1,24.9,
5.066666667,0.3,0.2,24.5,
4.683333333,0.3,0.1,22.8,
4.816666667,0.3,0.1,22.7,
4.9,0.3,0.1,24.5,
4.733333333,0.3,0.2,24.6,
4.766666667,0.3,0.1,25.4,
4.766666667,0.2,0.1,24.8,
4.7,0.2,0.1,25.3,
4.733333333,0.2,0.1,26.2,
4.733333333,0.2,0.1,26.3,
4.75,0.2,0.1,26.3,
4.733333333,0.2,0.1,25.8,
4.75,0.2,0.1,26.3,
5.066666667,0.3,0.1,26.4,
5,0.3,0.1,25.7,
5.033333333,0.3,0.1,27.1,
5.016666667,0.3,0.1,26,
5.016666667,0.3,0.2,25.5,
5.016666667,0.3,0.1,25.7,
5.05,0.3,0.2,25.6,
4.983333333,0.3,0.1,25.8,
5.083333333,0.2,0.1,26.5,
5.033333333,0.2,0.1,25.6,
5.35,0.2,0.1,26.6,
5.416666667,0.2,0.1,25.7,
5.35,0.2,0.1,26.3,
5.366666667,0.3,0.1,25.2,
5.383333333,0.2,0.1,24.8,
5.116666667,0.3,0.1,25.6,
5.116666667,0.3,0.2,26.7,
5.1,0.3,0.1,26.7,
5.1,0.3,0.1,26.2,
5.1,0.3,0.1,25.6,
5.066666667,0.3,0.2,26.1,
5.133333333,0.3,0.1,26.3,
5.116666667,0.3,0.1,26.4,
5.116666667,0.3,0.2,25.8,
5.133333333,0.3,0.1,25.5,
5.116666667,0.3,0.1,25.2,
5.116666667,0.3,0.2,25.3,
5.083333333,0.3,0.1,26.2,
5.1,0.3,0.1,24.6,
5.1,0.3,0.1,25.6,
5.133333333,0.3,0.1,26.1,
5.1,0.3,0.1,25.6,
5.1,0.3,0.1,26.3,
5.166666667,0.4,0.2,26.7,
5.166666667,0.3,0.1,26.5,
